train dataset: size=20260
  inp: shape=(1, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 1)
val dataset: size=52
  inp: shape=(1, 864, 1536)
  coord: shape=(2073600, 2)
  cell: shape=(2073600, 2)
  gt: shape=(2073600, 1)
model: #params=34.1K
epoch 1/1000, train: loss=0.0659, val: psnr=30.4425, 47.1s 47.1s/13.1h
epoch 25/1000, train: loss=0.0532, val: psnr=30.7721, 32.0s 13.7m/9.1h
epoch 26/1000, train: loss=0.0530, val: psnr=30.7718, 31.7s 14.2m/9.1h
epoch 27/1000, train: loss=0.0530, val: psnr=30.7864, 32.0s 14.8m/9.1h
epoch 28/1000, train: loss=0.0530, val: psnr=30.7989, 32.0s 15.3m/9.1h
epoch 29/1000, train: loss=0.0529, val: psnr=30.7920, 32.0s 15.8m/9.1h
epoch 30/1000, train: loss=0.0532, val: psnr=30.7977, 33.2s 16.4m/9.1h
epoch 31/1000, train: loss=0.0531, val: psnr=30.8168, 32.1s 16.9m/9.1h
epoch 32/1000, train: loss=0.0530, val: psnr=30.8279, 31.9s 17.5m/9.1h
epoch 33/1000, train: loss=0.0530, val: psnr=30.7875, 31.8s 18.0m/9.1h
epoch 34/1000, train: loss=0.0528, val: psnr=30.8286, 31.8s 18.5m/9.1h
epoch 35/1000, train: loss=0.0533, val: psnr=30.7920, 32.4s 19.1m/9.1h
epoch 36/1000, train: loss=0.0533, val: psnr=30.8234, 32.8s 19.6m/9.1h
epoch 37/1000, train: loss=0.0530, val: psnr=30.8202, 33.2s 20.2m/9.1h
epoch 38/1000, train: loss=0.0527, val: psnr=30.8295, 33.6s 20.7m/9.1h
epoch 39/1000, train: loss=0.0530, val: psnr=30.8116, 34.3s 21.3m/9.1h
epoch 40/1000, train: loss=0.0530, val: psnr=30.8186, 32.5s 21.8m/9.1h
epoch 41/1000, train: loss=0.0527, val: psnr=30.8314, 32.2s 22.4m/9.1h
epoch 42/1000, train: loss=0.0529, val: psnr=30.8209, 32.3s 22.9m/9.1h
epoch 43/1000, train: loss=0.0529, val: psnr=30.8170, 32.4s 23.4m/9.1h
epoch 44/1000, train: loss=0.0527, val: psnr=30.8190, 32.4s 24.0m/9.1h
epoch 45/1000, train: loss=0.0529, val: psnr=30.8307, 32.4s 24.5m/9.1h
epoch 46/1000, train: loss=0.0527, val: psnr=30.8377, 32.5s 25.1m/9.1h
epoch 47/1000, train: loss=0.0530, val: psnr=30.8244, 33.1s 25.6m/9.1h
epoch 48/1000, train: loss=0.0527, val: psnr=30.8221, 32.2s 26.2m/9.1h
epoch 49/1000, train: loss=0.0528, val: psnr=30.8145, 32.2s 26.7m/9.1h
epoch 50/1000, train: loss=0.0530, val: psnr=30.8264, 32.3s 27.2m/9.1h
epoch 51/1000, train: loss=0.0529, val: psnr=30.8198, 32.3s 27.8m/9.1h
epoch 52/1000, train: loss=0.0528, val: psnr=30.8339, 32.3s 28.3m/9.1h
epoch 53/1000, train: loss=0.0529, val: psnr=30.7959, 32.6s 28.8m/9.1h
epoch 54/1000, train: loss=0.0528, val: psnr=30.8189, 33.2s 29.4m/9.1h
epoch 55/1000, train: loss=0.0527, val: psnr=30.8072, 32.8s 29.9m/9.1h
epoch 56/1000, train: loss=0.0532, val: psnr=30.8268, 32.5s 30.5m/9.1h
epoch 57/1000, train: loss=0.0530, val: psnr=30.8350, 32.3s 31.0m/9.1h
epoch 58/1000, train: loss=0.0526, val: psnr=30.8062, 32.2s 31.6m/9.1h
epoch 59/1000, train: loss=0.0527, val: psnr=30.8106, 32.2s 32.1m/9.1h
epoch 60/1000, train: loss=0.0529, val: psnr=30.8303, 32.0s 32.6m/9.1h
epoch 61/1000, train: loss=0.0528, val: psnr=30.8456, 32.0s 33.2m/9.1h
epoch 62/1000, train: loss=0.0526, val: psnr=30.8418, 32.3s 33.7m/9.1h
epoch 63/1000, train: loss=0.0527, val: psnr=30.8431, 32.1s 34.2m/9.1h
epoch 64/1000, train: loss=0.0526, val: psnr=30.8315, 32.2s 34.8m/9.1h
epoch 65/1000, train: loss=0.0528, val: psnr=30.8443, 32.1s 35.3m/9.1h
epoch 66/1000, train: loss=0.0525, val: psnr=30.8368, 32.5s 35.9m/9.1h
epoch 67/1000, train: loss=0.0529, val: psnr=30.8319, 32.3s 36.4m/9.1h
epoch 68/1000, train: loss=0.0527, val: psnr=30.8281, 32.4s 36.9m/9.1h
epoch 69/1000, train: loss=0.0528, val: psnr=30.8355, 32.3s 37.5m/9.1h
epoch 70/1000, train: loss=0.0525, val: psnr=30.8565, 32.0s 38.0m/9.0h
epoch 71/1000, train: loss=0.0530, val: psnr=30.8378, 32.4s 38.5m/9.0h
epoch 72/1000, train: loss=0.0528, val: psnr=30.8346, 32.2s 39.1m/9.0h
epoch 73/1000, train: loss=0.0529, val: psnr=30.8546, 32.1s 39.6m/9.0h
epoch 74/1000, train: loss=0.0527, val: psnr=30.8492, 32.4s 40.2m/9.0h
epoch 75/1000, train: loss=0.0529, val: psnr=30.8419, 32.5s 40.7m/9.0h
epoch 76/1000, train: loss=0.0526, val: psnr=30.8303, 32.3s 41.2m/9.0h
epoch 77/1000, train: loss=0.0528, val: psnr=30.8337, 32.7s 41.8m/9.0h
epoch 78/1000, train: loss=0.0527, val: psnr=30.8461, 32.5s 42.3m/9.0h
epoch 79/1000, train: loss=0.0527, val: psnr=30.8090, 32.3s 42.9m/9.0h
epoch 80/1000, train: loss=0.0527, val: psnr=30.8595, 32.2s 43.4m/9.0h
epoch 81/1000, train: loss=0.0529, val: psnr=30.8485, 32.3s 43.9m/9.0h
epoch 82/1000, train: loss=0.0527, val: psnr=30.8521, 32.3s 44.5m/9.0h
epoch 83/1000, train: loss=0.0526, val: psnr=30.8503, 32.4s 45.0m/9.0h
epoch 84/1000, train: loss=0.0527, val: psnr=30.8494, 32.4s 45.6m/9.0h
epoch 85/1000, train: loss=0.0525, val: psnr=30.8329, 32.4s 46.1m/9.0h
epoch 86/1000, train: loss=0.0527, val: psnr=30.8522, 32.4s 46.6m/9.0h
epoch 87/1000, train: loss=0.0527, val: psnr=30.8330, 32.5s 47.2m/9.0h
epoch 88/1000, train: loss=0.0527, val: psnr=30.8589, 32.3s 47.7m/9.0h
epoch 89/1000, train: loss=0.0529, val: psnr=30.8646, 32.5s 48.3m/9.0h
epoch 90/1000, train: loss=0.0529, val: psnr=30.8446, 32.4s 48.8m/9.0h
epoch 91/1000, train: loss=0.0527, val: psnr=30.8265, 32.4s 49.3m/9.0h
epoch 92/1000, train: loss=0.0527, val: psnr=30.8427, 32.5s 49.9m/9.0h
epoch 93/1000, train: loss=0.0527, val: psnr=30.8512, 32.5s 50.4m/9.0h
epoch 94/1000, train: loss=0.0528, val: psnr=30.8424, 32.4s 51.0m/9.0h
epoch 95/1000, train: loss=0.0528, val: psnr=30.8458, 32.5s 51.5m/9.0h
epoch 96/1000, train: loss=0.0526, val: psnr=30.8526, 32.5s 52.0m/9.0h
epoch 97/1000, train: loss=0.0523, val: psnr=30.8521, 32.4s 52.6m/9.0h
epoch 98/1000, train: loss=0.0524, val: psnr=30.8514, 32.4s 53.1m/9.0h
epoch 99/1000, train: loss=0.0528, val: psnr=30.8546, 32.6s 53.7m/9.0h
epoch 100/1000, train: loss=0.0527, val: psnr=30.8503, 32.3s 54.2m/9.0h
epoch 101/1000, train: loss=0.0527, val: psnr=30.8421, 32.6s 54.8m/9.0h
epoch 102/1000, train: loss=0.0526, val: psnr=30.8406, 32.5s 55.3m/9.0h
epoch 103/1000, train: loss=0.0527, val: psnr=30.8534, 32.5s 55.8m/9.0h
epoch 104/1000, train: loss=0.0529, val: psnr=30.8480, 32.4s 56.4m/9.0h
epoch 105/1000, train: loss=0.0526, val: psnr=30.8483, 32.7s 56.9m/9.0h
epoch 106/1000, train: loss=0.0527, val: psnr=30.8508, 32.6s 57.5m/9.0h
epoch 107/1000, train: loss=0.0523, val: psnr=30.8508, 32.5s 58.0m/9.0h
epoch 108/1000, train: loss=0.0526, val: psnr=30.8597, 32.6s 58.5m/9.0h
epoch 109/1000, train: loss=0.0528, val: psnr=30.8506, 32.5s 59.1m/9.0h
epoch 110/1000, train: loss=0.0526, val: psnr=30.8531, 32.4s 59.6m/9.0h
epoch 111/1000, train: loss=0.0528, val: psnr=30.8612, 32.4s 1.0h/9.0h
epoch 112/1000, train: loss=0.0529, val: psnr=30.8331, 32.3s 1.0h/9.0h
epoch 113/1000, train: loss=0.0524, val: psnr=30.8492, 32.5s 1.0h/9.0h
epoch 114/1000, train: loss=0.0526, val: psnr=30.8482, 32.5s 1.0h/9.0h
epoch 115/1000, train: loss=0.0527, val: psnr=30.8616, 32.5s 1.0h/9.0h
epoch 116/1000, train: loss=0.0526, val: psnr=30.8464, 32.2s 1.0h/9.0h
epoch 117/1000, train: loss=0.0525, val: psnr=30.8292, 32.4s 1.1h/9.0h
epoch 118/1000, train: loss=0.0528, val: psnr=30.8497, 32.9s 1.1h/9.0h
epoch 119/1000, train: loss=0.0528, val: psnr=30.8582, 32.5s 1.1h/9.0h
epoch 120/1000, train: loss=0.0527, val: psnr=30.8536, 32.5s 1.1h/9.0h
epoch 121/1000, train: loss=0.0526, val: psnr=30.8598, 32.5s 1.1h/9.0h
epoch 122/1000, train: loss=0.0525, val: psnr=30.8412, 32.5s 1.1h/9.0h
epoch 123/1000, train: loss=0.0527, val: psnr=30.8587, 32.3s 1.1h/9.0h
epoch 124/1000, train: loss=0.0526, val: psnr=30.8589, 32.2s 1.1h/9.0h
epoch 125/1000, train: loss=0.0525, val: psnr=30.8580, 32.4s 1.1h/9.0h
epoch 126/1000, train: loss=0.0531, val: psnr=30.8615, 32.1s 1.1h/9.0h
epoch 127/1000, train: loss=0.0528, val: psnr=30.8426, 32.3s 1.1h/9.0h
epoch 128/1000, train: loss=0.0528, val: psnr=30.8608, 32.3s 1.2h/9.0h
epoch 129/1000, train: loss=0.0528, val: psnr=30.8442, 32.1s 1.2h/9.0h
epoch 130/1000, train: loss=0.0530, val: psnr=30.8521, 32.5s 1.2h/9.0h
epoch 131/1000, train: loss=0.0523, val: psnr=30.8542, 32.5s 1.2h/9.0h
epoch 132/1000, train: loss=0.0526, val: psnr=30.8521, 32.4s 1.2h/9.0h
epoch 133/1000, train: loss=0.0527, val: psnr=30.8616, 32.3s 1.2h/9.0h
epoch 134/1000, train: loss=0.0526, val: psnr=30.8562, 32.4s 1.2h/9.0h
epoch 135/1000, train: loss=0.0524, val: psnr=30.8303, 32.2s 1.2h/9.0h
epoch 136/1000, train: loss=0.0527, val: psnr=30.8438, 32.4s 1.2h/9.0h
epoch 137/1000, train: loss=0.0527, val: psnr=30.8332, 32.3s 1.2h/9.0h
epoch 138/1000, train: loss=0.0528, val: psnr=30.8454, 32.7s 1.2h/9.0h
epoch 139/1000, train: loss=0.0524, val: psnr=30.8651, 32.5s 1.3h/9.0h
epoch 140/1000, train: loss=0.0530, val: psnr=30.8487, 32.5s 1.3h/9.0h
epoch 141/1000, train: loss=0.0528, val: psnr=30.8388, 32.3s 1.3h/9.0h
epoch 142/1000, train: loss=0.0528, val: psnr=30.8497, 32.3s 1.3h/9.0h
epoch 143/1000, train: loss=0.0524, val: psnr=30.8481, 32.2s 1.3h/9.0h
epoch 144/1000, train: loss=0.0527, val: psnr=30.8452, 32.1s 1.3h/9.0h
epoch 145/1000, train: loss=0.0525, val: psnr=30.8568, 32.1s 1.3h/9.0h
epoch 146/1000, train: loss=0.0521, val: psnr=30.8457, 32.4s 1.3h/9.0h
epoch 147/1000, train: loss=0.0525, val: psnr=30.8511, 32.2s 1.3h/9.0h
epoch 148/1000, train: loss=0.0529, val: psnr=30.8457, 32.4s 1.3h/9.0h
epoch 149/1000, train: loss=0.0525, val: psnr=30.8571, 32.6s 1.3h/9.0h
epoch 150/1000, train: loss=0.0524, val: psnr=30.8611, 32.1s 1.4h/9.0h
epoch 151/1000, train: loss=0.0529, val: psnr=30.8654, 32.1s 1.4h/9.0h
epoch 152/1000, train: loss=0.0525, val: psnr=30.8560, 32.2s 1.4h/9.0h
epoch 153/1000, train: loss=0.0525, val: psnr=30.8532, 32.1s 1.4h/9.0h
epoch 154/1000, train: loss=0.0525, val: psnr=30.8621, 32.1s 1.4h/9.0h
epoch 155/1000, train: loss=0.0523, val: psnr=30.8657, 32.0s 1.4h/9.0h
epoch 156/1000, train: loss=0.0526, val: psnr=30.8509, 32.3s 1.4h/9.0h
epoch 157/1000, train: loss=0.0523, val: psnr=30.8585, 32.3s 1.4h/9.0h
epoch 158/1000, train: loss=0.0526, val: psnr=30.8547, 32.3s 1.4h/9.0h
epoch 159/1000, train: loss=0.0524, val: psnr=30.8501, 32.2s 1.4h/9.0h
epoch 160/1000, train: loss=0.0525, val: psnr=30.8607, 32.3s 1.4h/9.0h
epoch 161/1000, train: loss=0.0526, val: psnr=30.8472, 32.4s 1.5h/9.0h
epoch 162/1000, train: loss=0.0528, val: psnr=30.8634, 32.4s 1.5h/9.0h
epoch 163/1000, train: loss=0.0525, val: psnr=30.8604, 32.6s 1.5h/9.0h
epoch 164/1000, train: loss=0.0526, val: psnr=30.8581, 32.3s 1.5h/9.0h
epoch 165/1000, train: loss=0.0527, val: psnr=30.8497, 32.5s 1.5h/9.0h
epoch 166/1000, train: loss=0.0527, val: psnr=30.8621, 32.4s 1.5h/9.0h
epoch 167/1000, train: loss=0.0524, val: psnr=30.8332, 32.5s 1.5h/9.0h
epoch 168/1000, train: loss=0.0529, val: psnr=30.8601, 32.3s 1.5h/9.0h
epoch 169/1000, train: loss=0.0526, val: psnr=30.8474, 32.5s 1.5h/9.0h
epoch 170/1000, train: loss=0.0529, val: psnr=30.8539, 32.4s 1.5h/9.0h
epoch 171/1000, train: loss=0.0524, val: psnr=30.8560, 32.1s 1.5h/9.0h
epoch 172/1000, train: loss=0.0525, val: psnr=30.8518, 32.3s 1.6h/9.0h
epoch 173/1000, train: loss=0.0524, val: psnr=30.8647, 32.2s 1.6h/9.0h
epoch 174/1000, train: loss=0.0526, val: psnr=30.8544, 32.5s 1.6h/9.0h
epoch 175/1000, train: loss=0.0523, val: psnr=30.8503, 32.2s 1.6h/9.0h
epoch 176/1000, train: loss=0.0529, val: psnr=30.8745, 32.4s 1.6h/9.0h
epoch 177/1000, train: loss=0.0525, val: psnr=30.8375, 32.3s 1.6h/9.0h
epoch 178/1000, train: loss=0.0527, val: psnr=30.8536, 32.4s 1.6h/9.0h
epoch 179/1000, train: loss=0.0526, val: psnr=30.8687, 32.3s 1.6h/9.0h
epoch 180/1000, train: loss=0.0527, val: psnr=30.8634, 32.6s 1.6h/9.0h
epoch 181/1000, train: loss=0.0523, val: psnr=30.8723, 32.4s 1.6h/9.0h
epoch 182/1000, train: loss=0.0526, val: psnr=30.8645, 32.3s 1.6h/9.0h
epoch 183/1000, train: loss=0.0527, val: psnr=30.8555, 32.3s 1.6h/9.0h
epoch 184/1000, train: loss=0.0523, val: psnr=30.8526, 32.2s 1.7h/9.0h
epoch 185/1000, train: loss=0.0524, val: psnr=30.8698, 32.5s 1.7h/9.0h
epoch 186/1000, train: loss=0.0526, val: psnr=30.8612, 32.4s 1.7h/9.0h
epoch 187/1000, train: loss=0.0524, val: psnr=30.8497, 32.3s 1.7h/9.0h
epoch 188/1000, train: loss=0.0523, val: psnr=30.8537, 32.4s 1.7h/9.0h
epoch 189/1000, train: loss=0.0523, val: psnr=30.8718, 32.4s 1.7h/9.0h
epoch 190/1000, train: loss=0.0522, val: psnr=30.8727, 32.3s 1.7h/9.0h
epoch 191/1000, train: loss=0.0527, val: psnr=30.8646, 32.3s 1.7h/9.0h
epoch 192/1000, train: loss=0.0525, val: psnr=30.8783, 32.3s 1.7h/9.0h
epoch 193/1000, train: loss=0.0528, val: psnr=30.8520, 32.8s 1.7h/9.0h
epoch 194/1000, train: loss=0.0525, val: psnr=30.8570, 32.3s 1.7h/9.0h
epoch 195/1000, train: loss=0.0523, val: psnr=30.8602, 32.4s 1.8h/9.0h
epoch 196/1000, train: loss=0.0522, val: psnr=30.8585, 32.4s 1.8h/9.0h
epoch 197/1000, train: loss=0.0524, val: psnr=30.8581, 32.3s 1.8h/9.0h
epoch 198/1000, train: loss=0.0525, val: psnr=30.8430, 32.2s 1.8h/9.0h
epoch 199/1000, train: loss=0.0523, val: psnr=30.8417, 32.4s 1.8h/9.0h
epoch 200/1000, train: loss=0.0524, val: psnr=30.8734, 32.4s 1.8h/9.0h
epoch 201/1000, train: loss=0.0525, val: psnr=30.8715, 32.5s 1.8h/9.0h
epoch 202/1000, train: loss=0.0527, val: psnr=30.8543, 32.4s 1.8h/9.0h
epoch 203/1000, train: loss=0.0526, val: psnr=30.8709, 32.3s 1.8h/9.0h
epoch 204/1000, train: loss=0.0520, val: psnr=30.8595, 32.5s 1.8h/9.0h
epoch 205/1000, train: loss=0.0525, val: psnr=30.8732, 32.6s 1.8h/9.0h
epoch 206/1000, train: loss=0.0523, val: psnr=30.8733, 32.5s 1.9h/9.0h
epoch 207/1000, train: loss=0.0524, val: psnr=30.8683, 32.4s 1.9h/9.0h
epoch 208/1000, train: loss=0.0522, val: psnr=30.8531, 32.4s 1.9h/9.0h
epoch 209/1000, train: loss=0.0528, val: psnr=30.8642, 32.5s 1.9h/9.0h
epoch 210/1000, train: loss=0.0524, val: psnr=30.8657, 32.2s 1.9h/9.0h
epoch 211/1000, train: loss=0.0523, val: psnr=30.8721, 32.6s 1.9h/9.0h
epoch 212/1000, train: loss=0.0524, val: psnr=30.8712, 32.7s 1.9h/9.0h
epoch 213/1000, train: loss=0.0529, val: psnr=30.8521, 32.1s 1.9h/9.0h
epoch 214/1000, train: loss=0.0521, val: psnr=30.8728, 32.2s 1.9h/9.0h
epoch 215/1000, train: loss=0.0524, val: psnr=30.8711, 32.3s 1.9h/9.0h
epoch 216/1000, train: loss=0.0521, val: psnr=30.8662, 32.1s 1.9h/9.0h
epoch 217/1000, train: loss=0.0525, val: psnr=30.8665, 32.3s 2.0h/9.0h
epoch 218/1000, train: loss=0.0526, val: psnr=30.8538, 32.5s 2.0h/9.0h
epoch 219/1000, train: loss=0.0524, val: psnr=30.8626, 32.3s 2.0h/9.0h
epoch 220/1000, train: loss=0.0526, val: psnr=30.8594, 32.1s 2.0h/9.0h
epoch 221/1000, train: loss=0.0524, val: psnr=30.8756, 32.3s 2.0h/9.0h
epoch 222/1000, train: loss=0.0521, val: psnr=30.8562, 32.6s 2.0h/9.0h
epoch 223/1000, train: loss=0.0525, val: psnr=30.8553, 32.5s 2.0h/9.0h
epoch 224/1000, train: loss=0.0526, val: psnr=30.8659, 32.4s 2.0h/9.0h
epoch 225/1000, train: loss=0.0525, val: psnr=30.8695, 32.7s 2.0h/9.0h
epoch 226/1000, train: loss=0.0523, val: psnr=30.8589, 32.5s 2.0h/9.0h
epoch 227/1000, train: loss=0.0525, val: psnr=30.8638, 32.6s 2.0h/9.0h
epoch 228/1000, train: loss=0.0524, val: psnr=30.8722, 32.3s 2.1h/9.0h
epoch 229/1000, train: loss=0.0523, val: psnr=30.8752, 32.6s 2.1h/9.0h
epoch 230/1000, train: loss=0.0519, val: psnr=30.8685, 32.7s 2.1h/9.0h
epoch 231/1000, train: loss=0.0525, val: psnr=30.8630, 32.5s 2.1h/9.0h
epoch 232/1000, train: loss=0.0524, val: psnr=30.8774, 32.9s 2.1h/9.0h
epoch 233/1000, train: loss=0.0524, val: psnr=30.8694, 32.5s 2.1h/9.0h
epoch 234/1000, train: loss=0.0524, val: psnr=30.8659, 32.3s 2.1h/9.0h
epoch 235/1000, train: loss=0.0523, val: psnr=30.8738, 32.2s 2.1h/9.0h
epoch 236/1000, train: loss=0.0525, val: psnr=30.8494, 32.4s 2.1h/9.0h
epoch 237/1000, train: loss=0.0522, val: psnr=30.8748, 32.3s 2.1h/9.0h
epoch 238/1000, train: loss=0.0523, val: psnr=30.8751, 32.4s 2.1h/9.0h
epoch 239/1000, train: loss=0.0521, val: psnr=30.8802, 32.5s 2.2h/9.0h
epoch 240/1000, train: loss=0.0525, val: psnr=30.8802, 32.5s 2.2h/9.0h
epoch 241/1000, train: loss=0.0523, val: psnr=30.8790, 32.5s 2.2h/9.0h
epoch 242/1000, train: loss=0.0523, val: psnr=30.8659, 32.4s 2.2h/9.0h
epoch 243/1000, train: loss=0.0523, val: psnr=30.8837, 32.2s 2.2h/9.0h
epoch 244/1000, train: loss=0.0522, val: psnr=30.8728, 32.6s 2.2h/9.0h
epoch 245/1000, train: loss=0.0527, val: psnr=30.8720, 32.7s 2.2h/9.0h
epoch 246/1000, train: loss=0.0522, val: psnr=30.8756, 32.3s 2.2h/9.0h
epoch 247/1000, train: loss=0.0523, val: psnr=30.8731, 32.5s 2.2h/9.0h
epoch 248/1000, train: loss=0.0525, val: psnr=30.8756, 32.6s 2.2h/9.0h
epoch 249/1000, train: loss=0.0525, val: psnr=30.8805, 32.6s 2.2h/9.0h
epoch 250/1000, train: loss=0.0522, val: psnr=30.8690, 32.5s 2.3h/9.0h
epoch 251/1000, train: loss=0.0522, val: psnr=30.8774, 32.3s 2.3h/9.0h
epoch 252/1000, train: loss=0.0525, val: psnr=30.8764, 32.6s 2.3h/9.0h
epoch 253/1000, train: loss=0.0521, val: psnr=30.8787, 32.6s 2.3h/9.0h
epoch 254/1000, train: loss=0.0522, val: psnr=30.8760, 32.5s 2.3h/9.0h
epoch 255/1000, train: loss=0.0522, val: psnr=30.8814, 32.6s 2.3h/9.0h
epoch 256/1000, train: loss=0.0521, val: psnr=30.8737, 32.6s 2.3h/9.0h
epoch 257/1000, train: loss=0.0525, val: psnr=30.8777, 32.5s 2.3h/9.0h
epoch 258/1000, train: loss=0.0523, val: psnr=30.8738, 32.5s 2.3h/9.0h
epoch 259/1000, train: loss=0.0523, val: psnr=30.8755, 32.8s 2.3h/9.0h
epoch 260/1000, train: loss=0.0524, val: psnr=30.8736, 32.4s 2.3h/9.0h
epoch 261/1000, train: loss=0.0525, val: psnr=30.8771, 32.6s 2.4h/9.0h
epoch 262/1000, train: loss=0.0522, val: psnr=30.8741, 32.5s 2.4h/9.0h
epoch 263/1000, train: loss=0.0522, val: psnr=30.8729, 32.3s 2.4h/9.0h
epoch 264/1000, train: loss=0.0523, val: psnr=30.8770, 32.4s 2.4h/9.0h
epoch 265/1000, train: loss=0.0522, val: psnr=30.8753, 32.4s 2.4h/9.0h
epoch 266/1000, train: loss=0.0526, val: psnr=30.8621, 32.1s 2.4h/9.0h
epoch 267/1000, train: loss=0.0523, val: psnr=30.8694, 32.4s 2.4h/9.0h
epoch 268/1000, train: loss=0.0526, val: psnr=30.8687, 32.3s 2.4h/9.0h
epoch 269/1000, train: loss=0.0524, val: psnr=30.8851, 32.7s 2.4h/9.0h
epoch 270/1000, train: loss=0.0522, val: psnr=30.8655, 32.6s 2.4h/9.0h
epoch 271/1000, train: loss=0.0522, val: psnr=30.8709, 32.6s 2.4h/9.0h
epoch 272/1000, train: loss=0.0526, val: psnr=30.8807, 32.5s 2.5h/9.0h
epoch 273/1000, train: loss=0.0523, val: psnr=30.8719, 32.5s 2.5h/9.0h
epoch 274/1000, train: loss=0.0528, val: psnr=30.8696, 32.3s 2.5h/9.0h
epoch 275/1000, train: loss=0.0524, val: psnr=30.8728, 32.4s 2.5h/9.0h
epoch 276/1000, train: loss=0.0524, val: psnr=30.8704, 32.6s 2.5h/9.0h
epoch 277/1000, train: loss=0.0522, val: psnr=30.8748, 32.5s 2.5h/9.0h
epoch 278/1000, train: loss=0.0524, val: psnr=30.8846, 32.6s 2.5h/9.0h
epoch 279/1000, train: loss=0.0523, val: psnr=30.8721, 32.4s 2.5h/9.0h
epoch 280/1000, train: loss=0.0524, val: psnr=30.8751, 32.7s 2.5h/9.0h
epoch 281/1000, train: loss=0.0525, val: psnr=30.8756, 32.3s 2.5h/9.0h
epoch 282/1000, train: loss=0.0525, val: psnr=30.8668, 32.5s 2.5h/9.0h
epoch 283/1000, train: loss=0.0523, val: psnr=30.8697, 32.5s 2.6h/9.0h
epoch 284/1000, train: loss=0.0522, val: psnr=30.8800, 32.4s 2.6h/9.0h
epoch 285/1000, train: loss=0.0522, val: psnr=30.8822, 32.2s 2.6h/9.0h
epoch 286/1000, train: loss=0.0523, val: psnr=30.8716, 32.6s 2.6h/9.0h
epoch 287/1000, train: loss=0.0526, val: psnr=30.8750, 32.3s 2.6h/9.0h
epoch 288/1000, train: loss=0.0527, val: psnr=30.8845, 32.4s 2.6h/9.0h
epoch 289/1000, train: loss=0.0523, val: psnr=30.8692, 32.4s 2.6h/9.0h
epoch 290/1000, train: loss=0.0525, val: psnr=30.8748, 32.5s 2.6h/9.0h
epoch 291/1000, train: loss=0.0521, val: psnr=30.8805, 32.3s 2.6h/9.0h
epoch 292/1000, train: loss=0.0524, val: psnr=30.8739, 32.3s 2.6h/9.0h
epoch 293/1000, train: loss=0.0524, val: psnr=30.8758, 32.3s 2.6h/9.0h
epoch 294/1000, train: loss=0.0521, val: psnr=30.8763, 32.2s 2.6h/9.0h
epoch 295/1000, train: loss=0.0524, val: psnr=30.8707, 32.3s 2.7h/9.0h
epoch 296/1000, train: loss=0.0524, val: psnr=30.8720, 32.4s 2.7h/9.0h
