train dataset: size=20260
  inp: shape=(1, 64, 64)
  coord: shape=(4096, 2)
  cell: shape=(4096, 2)
  gt: shape=(4096, 1)
val dataset: size=52
  inp: shape=(1, 864, 1536)
  coord: shape=(2073600, 2)
  cell: shape=(2073600, 2)
  gt: shape=(2073600, 1)
model: #params=34.1K
epoch 1/1000, train: loss=0.0764, val: psnr=27.3525, 1.0m 1.0m/16.9h
epoch 101/1000, train: loss=0.0674, val: psnr=27.5104, 34.2s 57.4m/9.5h
epoch 102/1000, train: loss=0.0677, val: psnr=27.5114, 34.3s 57.9m/9.5h
epoch 103/1000, train: loss=0.0678, val: psnr=27.5022, 34.1s 58.5m/9.5h
epoch 104/1000, train: loss=0.0676, val: psnr=27.5044, 34.3s 59.1m/9.5h
epoch 105/1000, train: loss=0.0678, val: psnr=27.5049, 34.2s 59.7m/9.5h
epoch 106/1000, train: loss=0.0681, val: psnr=27.5058, 34.3s 1.0h/9.5h
epoch 107/1000, train: loss=0.0680, val: psnr=27.5170, 34.3s 1.0h/9.5h
epoch 108/1000, train: loss=0.0676, val: psnr=27.5124, 34.4s 1.0h/9.5h
epoch 109/1000, train: loss=0.0678, val: psnr=27.4990, 33.9s 1.0h/9.5h
epoch 110/1000, train: loss=0.0676, val: psnr=27.5177, 34.0s 1.0h/9.5h
epoch 111/1000, train: loss=0.0680, val: psnr=27.5042, 34.0s 1.1h/9.5h
epoch 112/1000, train: loss=0.0679, val: psnr=27.5121, 33.8s 1.1h/9.5h
epoch 113/1000, train: loss=0.0678, val: psnr=27.5096, 33.8s 1.1h/9.5h
epoch 114/1000, train: loss=0.0679, val: psnr=27.5181, 33.7s 1.1h/9.5h
epoch 115/1000, train: loss=0.0675, val: psnr=27.5175, 34.0s 1.1h/9.5h
epoch 116/1000, train: loss=0.0676, val: psnr=27.5038, 34.3s 1.1h/9.5h
epoch 117/1000, train: loss=0.0674, val: psnr=27.5161, 33.9s 1.1h/9.5h
epoch 118/1000, train: loss=0.0677, val: psnr=27.5044, 34.1s 1.1h/9.5h
epoch 119/1000, train: loss=0.0678, val: psnr=27.5161, 34.0s 1.1h/9.5h
epoch 120/1000, train: loss=0.0675, val: psnr=27.5017, 34.0s 1.1h/9.5h
epoch 121/1000, train: loss=0.0675, val: psnr=27.5182, 34.2s 1.1h/9.5h
epoch 122/1000, train: loss=0.0672, val: psnr=27.5212, 34.1s 1.2h/9.5h
epoch 123/1000, train: loss=0.0675, val: psnr=27.5166, 34.1s 1.2h/9.5h
epoch 124/1000, train: loss=0.0676, val: psnr=27.5204, 34.1s 1.2h/9.5h
epoch 125/1000, train: loss=0.0677, val: psnr=27.5138, 34.1s 1.2h/9.5h
epoch 126/1000, train: loss=0.0679, val: psnr=27.5192, 34.2s 1.2h/9.5h
epoch 127/1000, train: loss=0.0674, val: psnr=27.5140, 34.4s 1.2h/9.5h
epoch 128/1000, train: loss=0.0677, val: psnr=27.5253, 33.9s 1.2h/9.5h
epoch 129/1000, train: loss=0.0673, val: psnr=27.5117, 34.0s 1.2h/9.5h
epoch 130/1000, train: loss=0.0672, val: psnr=27.5287, 33.8s 1.2h/9.5h
epoch 131/1000, train: loss=0.0683, val: psnr=27.5166, 33.7s 1.2h/9.5h
epoch 132/1000, train: loss=0.0675, val: psnr=27.5289, 34.0s 1.2h/9.5h
epoch 133/1000, train: loss=0.0678, val: psnr=27.5174, 33.9s 1.3h/9.5h
epoch 134/1000, train: loss=0.0674, val: psnr=27.5150, 33.6s 1.3h/9.5h
epoch 135/1000, train: loss=0.0674, val: psnr=27.5241, 33.7s 1.3h/9.5h
epoch 136/1000, train: loss=0.0675, val: psnr=27.5198, 33.9s 1.3h/9.5h
epoch 137/1000, train: loss=0.0678, val: psnr=27.5285, 34.0s 1.3h/9.5h
epoch 138/1000, train: loss=0.0677, val: psnr=27.5264, 34.0s 1.3h/9.5h
epoch 139/1000, train: loss=0.0678, val: psnr=27.5229, 34.0s 1.3h/9.5h
epoch 140/1000, train: loss=0.0677, val: psnr=27.5300, 34.1s 1.3h/9.5h
epoch 141/1000, train: loss=0.0676, val: psnr=27.5255, 34.4s 1.3h/9.5h
epoch 142/1000, train: loss=0.0680, val: psnr=27.5193, 34.1s 1.3h/9.5h
epoch 143/1000, train: loss=0.0675, val: psnr=27.5188, 34.2s 1.4h/9.5h
epoch 144/1000, train: loss=0.0675, val: psnr=27.5318, 34.2s 1.4h/9.5h
epoch 145/1000, train: loss=0.0675, val: psnr=27.5169, 34.2s 1.4h/9.5h
epoch 146/1000, train: loss=0.0674, val: psnr=27.5310, 34.0s 1.4h/9.5h
epoch 147/1000, train: loss=0.0673, val: psnr=27.5243, 34.3s 1.4h/9.5h
epoch 148/1000, train: loss=0.0678, val: psnr=27.5212, 34.3s 1.4h/9.5h
epoch 149/1000, train: loss=0.0675, val: psnr=27.5274, 34.2s 1.4h/9.5h
epoch 150/1000, train: loss=0.0677, val: psnr=27.5170, 34.9s 1.4h/9.5h
epoch 151/1000, train: loss=0.0676, val: psnr=27.5278, 35.2s 1.4h/9.5h
epoch 152/1000, train: loss=0.0672, val: psnr=27.5329, 35.0s 1.4h/9.5h
epoch 153/1000, train: loss=0.0671, val: psnr=27.5221, 34.9s 1.4h/9.5h
epoch 154/1000, train: loss=0.0676, val: psnr=27.5277, 33.4s 1.5h/9.5h
epoch 155/1000, train: loss=0.0676, val: psnr=27.5303, 33.0s 1.5h/9.5h
epoch 156/1000, train: loss=0.0673, val: psnr=27.5125, 32.5s 1.5h/9.5h
epoch 157/1000, train: loss=0.0674, val: psnr=27.5262, 32.8s 1.5h/9.5h
epoch 158/1000, train: loss=0.0675, val: psnr=27.5369, 33.0s 1.5h/9.5h
epoch 159/1000, train: loss=0.0675, val: psnr=27.5241, 32.7s 1.5h/9.5h
epoch 160/1000, train: loss=0.0668, val: psnr=27.5365, 33.1s 1.5h/9.5h
epoch 161/1000, train: loss=0.0675, val: psnr=27.5306, 33.1s 1.5h/9.5h
epoch 162/1000, train: loss=0.0673, val: psnr=27.5254, 32.7s 1.5h/9.5h
epoch 163/1000, train: loss=0.0671, val: psnr=27.5287, 32.9s 1.5h/9.5h
epoch 164/1000, train: loss=0.0675, val: psnr=27.5233, 33.0s 1.5h/9.5h
epoch 165/1000, train: loss=0.0675, val: psnr=27.5345, 32.9s 1.6h/9.4h
epoch 166/1000, train: loss=0.0677, val: psnr=27.5162, 33.2s 1.6h/9.4h
epoch 167/1000, train: loss=0.0679, val: psnr=27.5314, 33.5s 1.6h/9.4h
epoch 168/1000, train: loss=0.0672, val: psnr=27.5357, 33.2s 1.6h/9.4h
epoch 169/1000, train: loss=0.0673, val: psnr=27.5197, 32.9s 1.6h/9.4h
epoch 170/1000, train: loss=0.0678, val: psnr=27.5326, 32.9s 1.6h/9.4h
epoch 171/1000, train: loss=0.0675, val: psnr=27.5412, 33.0s 1.6h/9.4h
epoch 172/1000, train: loss=0.0677, val: psnr=27.5360, 32.8s 1.6h/9.4h
epoch 173/1000, train: loss=0.0670, val: psnr=27.5261, 33.0s 1.6h/9.4h
epoch 174/1000, train: loss=0.0672, val: psnr=27.5264, 32.9s 1.6h/9.4h
epoch 175/1000, train: loss=0.0676, val: psnr=27.5334, 32.5s 1.7h/9.4h
epoch 176/1000, train: loss=0.0675, val: psnr=27.5326, 32.6s 1.7h/9.4h
epoch 177/1000, train: loss=0.0672, val: psnr=27.5291, 32.9s 1.7h/9.4h
epoch 178/1000, train: loss=0.0674, val: psnr=27.5306, 33.1s 1.7h/9.4h
epoch 179/1000, train: loss=0.0674, val: psnr=27.5214, 33.0s 1.7h/9.4h
epoch 180/1000, train: loss=0.0673, val: psnr=27.5242, 33.2s 1.7h/9.4h
epoch 181/1000, train: loss=0.0676, val: psnr=27.5291, 33.1s 1.7h/9.4h
epoch 182/1000, train: loss=0.0674, val: psnr=27.5349, 33.1s 1.7h/9.4h
epoch 183/1000, train: loss=0.0676, val: psnr=27.5400, 33.3s 1.7h/9.4h
epoch 184/1000, train: loss=0.0673, val: psnr=27.5251, 33.3s 1.7h/9.4h
epoch 185/1000, train: loss=0.0673, val: psnr=27.5255, 33.2s 1.7h/9.4h
epoch 186/1000, train: loss=0.0675, val: psnr=27.5328, 33.1s 1.8h/9.4h
epoch 187/1000, train: loss=0.0674, val: psnr=27.5329, 33.1s 1.8h/9.4h
epoch 188/1000, train: loss=0.0670, val: psnr=27.5260, 33.0s 1.8h/9.4h
epoch 189/1000, train: loss=0.0670, val: psnr=27.5165, 32.8s 1.8h/9.4h
epoch 190/1000, train: loss=0.0678, val: psnr=27.5367, 33.0s 1.8h/9.4h
epoch 191/1000, train: loss=0.0671, val: psnr=27.5353, 32.6s 1.8h/9.4h
epoch 192/1000, train: loss=0.0676, val: psnr=27.5328, 33.0s 1.8h/9.4h
epoch 193/1000, train: loss=0.0674, val: psnr=27.5310, 33.0s 1.8h/9.4h
epoch 194/1000, train: loss=0.0680, val: psnr=27.5355, 32.9s 1.8h/9.4h
epoch 195/1000, train: loss=0.0675, val: psnr=27.5246, 33.1s 1.8h/9.4h
epoch 196/1000, train: loss=0.0674, val: psnr=27.5417, 33.2s 1.8h/9.4h
epoch 197/1000, train: loss=0.0673, val: psnr=27.5338, 33.1s 1.9h/9.4h
epoch 198/1000, train: loss=0.0673, val: psnr=27.5230, 33.1s 1.9h/9.4h
epoch 199/1000, train: loss=0.0675, val: psnr=27.5313, 33.2s 1.9h/9.4h
epoch 200/1000, train: loss=0.0679, val: psnr=27.5389, 33.0s 1.9h/9.4h
epoch 201/1000, train: loss=0.0671, val: psnr=27.5264, 33.0s 1.9h/9.4h
epoch 202/1000, train: loss=0.0675, val: psnr=27.5425, 32.9s 1.9h/9.4h
epoch 203/1000, train: loss=0.0670, val: psnr=27.5265, 33.2s 1.9h/9.4h
epoch 204/1000, train: loss=0.0670, val: psnr=27.5331, 32.9s 1.9h/9.4h
epoch 205/1000, train: loss=0.0670, val: psnr=27.5397, 33.1s 1.9h/9.4h
epoch 206/1000, train: loss=0.0677, val: psnr=27.5395, 33.2s 1.9h/9.4h
epoch 207/1000, train: loss=0.0675, val: psnr=27.5428, 32.9s 1.9h/9.4h
epoch 208/1000, train: loss=0.0674, val: psnr=27.5449, 32.8s 2.0h/9.4h
epoch 209/1000, train: loss=0.0674, val: psnr=27.5375, 33.1s 2.0h/9.4h
epoch 210/1000, train: loss=0.0670, val: psnr=27.5268, 32.8s 2.0h/9.4h
epoch 211/1000, train: loss=0.0679, val: psnr=27.5404, 32.7s 2.0h/9.4h
epoch 212/1000, train: loss=0.0675, val: psnr=27.5304, 32.8s 2.0h/9.4h
epoch 213/1000, train: loss=0.0675, val: psnr=27.5345, 32.8s 2.0h/9.4h
epoch 214/1000, train: loss=0.0675, val: psnr=27.5350, 33.3s 2.0h/9.4h
epoch 215/1000, train: loss=0.0673, val: psnr=27.5285, 33.0s 2.0h/9.4h
epoch 216/1000, train: loss=0.0674, val: psnr=27.5360, 33.0s 2.0h/9.4h
epoch 217/1000, train: loss=0.0670, val: psnr=27.5414, 32.9s 2.0h/9.4h
epoch 218/1000, train: loss=0.0671, val: psnr=27.5351, 33.2s 2.0h/9.4h
epoch 219/1000, train: loss=0.0671, val: psnr=27.5415, 33.1s 2.1h/9.4h
epoch 220/1000, train: loss=0.0669, val: psnr=27.5440, 33.2s 2.1h/9.4h
epoch 221/1000, train: loss=0.0671, val: psnr=27.5330, 32.9s 2.1h/9.4h
epoch 222/1000, train: loss=0.0675, val: psnr=27.5403, 33.0s 2.1h/9.4h
epoch 223/1000, train: loss=0.0671, val: psnr=27.5310, 33.2s 2.1h/9.4h
epoch 224/1000, train: loss=0.0674, val: psnr=27.5384, 33.0s 2.1h/9.4h
epoch 225/1000, train: loss=0.0674, val: psnr=27.5355, 32.9s 2.1h/9.4h
epoch 226/1000, train: loss=0.0672, val: psnr=27.5442, 33.1s 2.1h/9.4h
epoch 227/1000, train: loss=0.0673, val: psnr=27.5427, 32.9s 2.1h/9.4h
epoch 228/1000, train: loss=0.0676, val: psnr=27.5382, 32.7s 2.1h/9.4h
epoch 229/1000, train: loss=0.0674, val: psnr=27.5440, 32.8s 2.1h/9.4h
epoch 230/1000, train: loss=0.0672, val: psnr=27.5336, 32.5s 2.2h/9.4h
epoch 231/1000, train: loss=0.0674, val: psnr=27.5452, 32.7s 2.2h/9.4h
epoch 232/1000, train: loss=0.0675, val: psnr=27.5408, 32.7s 2.2h/9.4h
epoch 233/1000, train: loss=0.0677, val: psnr=27.5349, 32.7s 2.2h/9.4h
epoch 234/1000, train: loss=0.0677, val: psnr=27.5407, 33.0s 2.2h/9.4h
epoch 235/1000, train: loss=0.0674, val: psnr=27.5405, 33.1s 2.2h/9.4h
epoch 236/1000, train: loss=0.0671, val: psnr=27.5468, 33.5s 2.2h/9.4h
epoch 237/1000, train: loss=0.0673, val: psnr=27.5379, 33.6s 2.2h/9.4h
epoch 238/1000, train: loss=0.0676, val: psnr=27.5392, 33.3s 2.2h/9.4h
epoch 239/1000, train: loss=0.0669, val: psnr=27.5429, 33.2s 2.2h/9.4h
epoch 240/1000, train: loss=0.0668, val: psnr=27.5413, 33.1s 2.2h/9.4h
epoch 241/1000, train: loss=0.0674, val: psnr=27.5441, 33.3s 2.3h/9.4h
epoch 242/1000, train: loss=0.0672, val: psnr=27.5392, 33.0s 2.3h/9.4h
epoch 243/1000, train: loss=0.0674, val: psnr=27.5437, 33.0s 2.3h/9.4h
epoch 244/1000, train: loss=0.0676, val: psnr=27.5450, 33.1s 2.3h/9.4h
epoch 245/1000, train: loss=0.0669, val: psnr=27.5202, 32.9s 2.3h/9.4h
epoch 246/1000, train: loss=0.0671, val: psnr=27.5374, 32.9s 2.3h/9.4h
epoch 247/1000, train: loss=0.0677, val: psnr=27.5428, 33.0s 2.3h/9.4h
epoch 248/1000, train: loss=0.0675, val: psnr=27.5236, 33.3s 2.3h/9.4h
epoch 249/1000, train: loss=0.0674, val: psnr=27.5397, 33.0s 2.3h/9.4h
epoch 250/1000, train: loss=0.0677, val: psnr=27.5365, 32.8s 2.3h/9.4h
epoch 251/1000, train: loss=0.0677, val: psnr=27.5398, 32.8s 2.3h/9.4h
epoch 252/1000, train: loss=0.0674, val: psnr=27.5359, 33.2s 2.4h/9.4h
epoch 253/1000, train: loss=0.0672, val: psnr=27.5354, 32.9s 2.4h/9.4h
epoch 254/1000, train: loss=0.0675, val: psnr=27.5317, 33.1s 2.4h/9.4h
epoch 255/1000, train: loss=0.0671, val: psnr=27.5408, 33.0s 2.4h/9.3h
epoch 256/1000, train: loss=0.0670, val: psnr=27.5494, 33.1s 2.4h/9.3h
epoch 257/1000, train: loss=0.0672, val: psnr=27.5385, 33.0s 2.4h/9.3h
epoch 258/1000, train: loss=0.0672, val: psnr=27.5419, 33.3s 2.4h/9.3h
epoch 259/1000, train: loss=0.0675, val: psnr=27.5335, 32.9s 2.4h/9.3h
epoch 260/1000, train: loss=0.0673, val: psnr=27.5428, 33.1s 2.4h/9.3h
epoch 261/1000, train: loss=0.0673, val: psnr=27.5411, 32.9s 2.4h/9.3h
epoch 262/1000, train: loss=0.0674, val: psnr=27.5336, 32.9s 2.4h/9.3h
epoch 263/1000, train: loss=0.0671, val: psnr=27.5460, 32.7s 2.5h/9.3h
epoch 264/1000, train: loss=0.0675, val: psnr=27.5324, 32.7s 2.5h/9.3h
epoch 265/1000, train: loss=0.0668, val: psnr=27.5366, 32.9s 2.5h/9.3h
epoch 266/1000, train: loss=0.0673, val: psnr=27.5394, 33.0s 2.5h/9.3h
epoch 267/1000, train: loss=0.0667, val: psnr=27.5398, 32.8s 2.5h/9.3h
epoch 268/1000, train: loss=0.0669, val: psnr=27.5419, 32.9s 2.5h/9.3h
epoch 269/1000, train: loss=0.0673, val: psnr=27.5385, 33.0s 2.5h/9.3h
epoch 270/1000, train: loss=0.0676, val: psnr=27.5361, 33.1s 2.5h/9.3h
epoch 271/1000, train: loss=0.0674, val: psnr=27.5402, 33.0s 2.5h/9.3h
epoch 272/1000, train: loss=0.0673, val: psnr=27.5393, 33.0s 2.5h/9.3h
epoch 273/1000, train: loss=0.0678, val: psnr=27.5330, 33.4s 2.5h/9.3h
epoch 274/1000, train: loss=0.0675, val: psnr=27.5392, 33.1s 2.6h/9.3h
epoch 275/1000, train: loss=0.0672, val: psnr=27.5297, 33.0s 2.6h/9.3h
epoch 276/1000, train: loss=0.0673, val: psnr=27.5482, 33.7s 2.6h/9.3h
epoch 277/1000, train: loss=0.0677, val: psnr=27.5413, 33.2s 2.6h/9.3h
epoch 278/1000, train: loss=0.0672, val: psnr=27.5361, 33.0s 2.6h/9.3h
epoch 279/1000, train: loss=0.0673, val: psnr=27.5353, 33.0s 2.6h/9.3h
epoch 280/1000, train: loss=0.0676, val: psnr=27.5440, 33.0s 2.6h/9.3h
epoch 281/1000, train: loss=0.0674, val: psnr=27.5437, 33.1s 2.6h/9.3h
epoch 282/1000, train: loss=0.0670, val: psnr=27.5433, 32.9s 2.6h/9.3h
epoch 283/1000, train: loss=0.0674, val: psnr=27.5426, 32.9s 2.6h/9.3h
epoch 284/1000, train: loss=0.0672, val: psnr=27.5476, 33.1s 2.7h/9.3h
epoch 285/1000, train: loss=0.0669, val: psnr=27.5467, 32.7s 2.7h/9.3h
epoch 286/1000, train: loss=0.0670, val: psnr=27.5354, 32.9s 2.7h/9.3h
epoch 287/1000, train: loss=0.0669, val: psnr=27.5415, 32.9s 2.7h/9.3h
epoch 288/1000, train: loss=0.0672, val: psnr=27.5398, 33.1s 2.7h/9.3h
epoch 289/1000, train: loss=0.0670, val: psnr=27.5463, 32.9s 2.7h/9.3h
epoch 290/1000, train: loss=0.0674, val: psnr=27.5447, 32.9s 2.7h/9.3h
epoch 291/1000, train: loss=0.0670, val: psnr=27.5474, 33.0s 2.7h/9.3h
epoch 292/1000, train: loss=0.0670, val: psnr=27.5439, 32.8s 2.7h/9.3h
epoch 293/1000, train: loss=0.0673, val: psnr=27.5329, 33.1s 2.7h/9.3h
epoch 294/1000, train: loss=0.0673, val: psnr=27.5397, 32.9s 2.7h/9.3h
epoch 295/1000, train: loss=0.0677, val: psnr=27.5482, 33.4s 2.8h/9.3h
epoch 296/1000, train: loss=0.0673, val: psnr=27.5417, 33.0s 2.8h/9.3h
